tstu_id,trip_id,stop_id,stop_sequence,agency_src_id,route_src_id,stop_src_id,dir_src,service_type_src,monday,tuesday,wednesday,thursday,friday,saturday,sunday,service_id,buffer
1,KMB_281E_N,B_966a,1,2,281E,4A38244491180BF7,O,1.0,1,1,1,1,1,0,0,wd,M
2,KMB_281E_N,B_4232,2,2,281E,5419928D472EAD8D,O,1.0,1,1,1,1,1,0,0,wd,M
3,KMB_281E_N,B_967,3,2,281E,36DD78B37B828DD8,O,1.0,1,1,1,1,1,0,0,wd,M
4,KMB_281E_N,B_9009,4,2,281E,D7C7D86E923EEAE1,O,1.0,1,1,1,1,1,0,0,wd,M
5,KMB_281E_N,B_194,5,2,281E,A76BB6FCB881AF5C,O,1.0,1,1,1,1,1,0,0,wd,M
6,KMB_281E_N,B_9054,6,2,281E,0F4F935A9F14F111,O,1.0,1,1,1,1,1,0,0,wd,M
7,KMB_281E_N,B_1317,7,2,281E,7ADC6D521E6BECE6,O,1.0,1,1,1,1,1,0,0,wd,M
8,KMB_281E_N,B_1343,8,2,281E,E02E10C9135624F9,O,1.0,1,1,1,1,1,0,0,wd,M
9,KMB_281E_N,B_12378,9,2,281E,3B8B261C1DA409BD,O,1.0,1,1,1,1,1,0,0,wd,M
10,KMB_281E_N,B_13186,10,2,281E,9DA7325E4238402B,O,1.0,1,1,1,1,1,0,0,wd,M
11,KMB_281E_N,B_12913,11,2,281E,195C509959C6A799,O,1.0,1,1,1,1,1,0,0,wd,M
12,KMB_281E_N,B_13185,12,2,281E,3F21ED54F86D9B1D,O,1.0,1,1,1,1,1,0,0,wd,M
13,KMB_281E_N,B_13185,13,2,281E,BF72FF473A660C0E,O,1.0,1,1,1,1,1,0,0,wd,M
14,KMB_281E_N,B_708,14,2,281E,ABFB3F43ECB908B2,O,1.0,1,1,1,1,1,0,0,wd,M
15,KMB_281E_N,B_6081,15,2,281E,C1E9F8237EDBBAD2,O,1.0,1,1,1,1,1,0,0,wd,M
16,KMB_281E_N,B_6086,16,2,281E,7F068ADB0659F04E,O,1.0,1,1,1,1,1,0,0,wd,M
17,KMB_281E_N,B_13297,17,2,281E,779954C17EAF3B95,O,1.0,1,1,1,1,1,0,0,wd,M
18,KMB_281E_N,B_6095,18,2,281E,CB0585244877B9B9,O,1.0,1,1,1,1,1,0,0,wd,M
19,KMB_281E_N,B_6101,19,2,281E,69E4C417312C10C0,O,1.0,1,1,1,1,1,0,0,wd,M
20,KMB_281E_N,B_6103,20,2,281E,C1E1199805BCC92D,O,1.0,1,1,1,1,1,0,0,wd,M
21,KMB_281E_N,B_6104,21,2,281E,EAA44CDBC231DB8C,O,1.0,1,1,1,1,1,0,0,wd,M
22,KMB_86_S_wd,B_6105,1,2,86,9001559964CBF493,O,1.0,1,1,1,1,1,0,0,wd,M
23,KMB_86_S_wd,B_6102,2,2,86,260B43921BAFD8CB,O,1.0,1,1,1,1,1,0,0,wd,M
24,KMB_86_S_wd,B_6098,3,2,86,D54A59914E577E3F,O,1.0,1,1,1,1,1,0,0,wd,M
25,KMB_86_S_wd,B_6096,4,2,86,3F01C915E856B018,O,1.0,1,1,1,1,1,0,0,wd,M
26,KMB_86_S_wd,B_6093,5,2,86,6282A73360ACEBEA,O,1.0,1,1,1,1,1,0,0,wd,M
27,KMB_86_S_wd,B_6090,6,2,86,8F78659628BA6795,O,1.0,1,1,1,1,1,0,0,wd,M
28,KMB_86_S_wd,,7,2,86,BCF85CB997B0F72F,O,1.0,1,1,1,1,1,0,0,wd,M
29,KMB_86_S_wd,B_6079,8,2,86,DC6C23E16605C5EF,O,1.0,1,1,1,1,1,0,0,wd,M
30,KMB_86_S_wd,B_6080,9,2,86,CF75BC81CDF3D411,O,1.0,1,1,1,1,1,0,0,wd,M
31,KMB_86_S_wd,B_873,10,2,86,E202C2F74E3A033B,O,1.0,1,1,1,1,1,0,0,wd,M
32,KMB_86_S_wd,B_721,11,2,86,0ABE48106C953AC9,O,1.0,1,1,1,1,1,0,0,wd,M
33,KMB_86_S_wd,B_6137,12,2,86,9D3BCB233237C32C,O,1.0,1,1,1,1,1,0,0,wd,M
34,KMB_86_S_wd,B_6143,13,2,86,9E3D2E34F849E298,O,1.0,1,1,1,1,1,0,0,wd,M
35,KMB_86_S_wd,B_6071,14,2,86,56B7437C9A25161E,O,1.0,1,1,1,1,1,0,0,wd,M
36,KMB_86_S_wd,B_6070,15,2,86,3ABF1C6B0195D580,O,1.0,1,1,1,1,1,0,0,wd,M
37,KMB_86_S_wd,B_6054,16,2,86,613ED01D077362A9,O,1.0,1,1,1,1,1,0,0,wd,M
38,KMB_86_S_wd,B_6053,17,2,86,A432A047D1B0DD62,O,1.0,1,1,1,1,1,0,0,wd,M
39,KMB_86_S_wd,B_9166,18,2,86,29A62A8FE112766B,O,1.0,1,1,1,1,1,0,0,wd,M
40,KMB_86_S_wd,B_1010,19,2,86,9751EE79B103C9B8,O,1.0,1,1,1,1,1,0,0,wd,M
41,KMB_86_S_wd,B_9162,20,2,86,B123EFA9F9DDD6AB,O,1.0,1,1,1,1,1,0,0,wd,M
42,KMB_86_S_wd,B_9184,21,2,86,E275C17540BCEF37,O,1.0,1,1,1,1,1,0,0,wd,M
43,KMB_86_S_wd,B_9180,22,2,86,6D1087ACF14C15A9,O,1.0,1,1,1,1,1,0,0,wd,M
44,KMB_86_S_wd,B_9177,23,2,86,46ABE64DB9C82DDF,O,1.0,1,1,1,1,1,0,0,wd,M
45,KMB_86_S_wd,B_13027,24,2,86,5974E3D924697E4C,O,1.0,1,1,1,1,1,0,0,wd,M
46,KMB_86_S_wd,B_4205,25,2,86,CCAC1239A80FFE6B,O,1.0,1,1,1,1,1,0,0,wd,M
47,KMB_86_S_wd,B_4206,26,2,86,317CDFC0C1DB2ADF,O,1.0,1,1,1,1,1,0,0,wd,M
48,KMB_86_S_wd,B_4207,27,2,86,9508A6CF0AF1E1B2,O,1.0,1,1,1,1,1,0,0,wd,M
49,KMB_86_S_wd,B_9237,28,2,86,B8B71BC8E2DDCA8D,O,1.0,1,1,1,1,1,0,0,wd,M
50,KMB_86_S_wd,B_4208,29,2,86,62AB7611613EF561,O,1.0,1,1,1,1,1,0,0,wd,M
51,KMB_86_S_wd,B_4214,30,2,86,EEBBD352B7F16E3F,O,1.0,1,1,1,1,1,0,0,wd,M
52,KMB_86_S_wd,B_973,31,2,86,6762DEA1B89E6354,O,1.0,1,1,1,1,1,0,0,wd,M
53,KMB_86_S_wd,B_739,32,2,86,D32CCF88E6FD8621,O,1.0,1,1,1,1,1,0,0,wd,M
54,KMB_87P_W_wd,B_6169,1,2,87P,E8D23F35593FD471,O,1.0,1,1,1,1,1,0,0,wd,S
55,KMB_87P_W_wd,B_6168,2,2,87P,3C61E9226688CA79,O,1.0,1,1,1,1,1,0,0,wd,S
56,KMB_87P_W_wd,B_6154,3,2,87P,7A550F91E3171941,O,1.0,1,1,1,1,1,0,0,wd,S
57,KMB_87P_W_wd,B_6159,4,2,87P,2B7E8054D4A2CBA7,O,1.0,1,1,1,1,1,0,0,wd,S
58,KMB_32_S_wd,B_9604,1,2,32,873B57DCAC177674,O,1.0,1,1,1,1,1,0,0,wd,M
59,KMB_32_S_wd,B_9606,2,2,32,D1A1DF2BDC842EE5,O,1.0,1,1,1,1,1,0,0,wd,M
60,KMB_32_S_wd,B_9617,3,2,32,33A7AB58611A0F6D,O,1.0,1,1,1,1,1,0,0,wd,M
61,KMB_32_S_wd,B_9600,4,2,32,523D316BCA4F3861,O,1.0,1,1,1,1,1,0,0,wd,M
62,KMB_32_S_wd,B_9596,5,2,32,0A1DAEAFFDFF0B66,O,1.0,1,1,1,1,1,0,0,wd,M
63,KMB_32_S_wd,B_9595,6,2,32,9FD6AAFA1318E3D9,O,1.0,1,1,1,1,1,0,0,wd,M
64,KMB_32_S_wd,B_9591,7,2,32,066AA1A504714A20,O,1.0,1,1,1,1,1,0,0,wd,M
65,KMB_32_S_wd,B_9569,8,2,32,D2ACD052AFD5900A,O,1.0,1,1,1,1,1,0,0,wd,M
