tstu_id,trip_id,stop_id,stop_sequence,agency_src_id,route_src_id,stop_src_id,dir_src,service_type_src,monday,tuesday,wednesday,thursday,friday,saturday,sunday,service_id,buffer
-1,CFB_970X_S_wd,B_30075,1,4,970X,003600,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9223,2,4,970X,003601,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9225,3,4,970X,001440,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9226,4,4,970X,001441,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_743,5,4,970X,001443,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9217,6,4,970X,001444,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9219,7,4,970X,001447,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_211,8,4,970X,001556,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_212,9,4,970X,001557,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_9071,10,4,970X,001775,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_7036,11,4,970X,001559,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_744,12,4,970X,001562,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_745,13,4,970X,001564,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_4049,14,4,970X,001567,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_4272,15,4,970X,002811,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_1164,16,4,970X,001482,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_13310,17,4,970X,001586,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_911a,18,4,970X,001629,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_8013,19,4,970X,001191,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_327,20,4,970X,001119,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_328,21,4,970X,001116,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_329,22,4,970X,001117,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_3185,23,4,970X,001120,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_331,24,4,970X,001118,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_332,25,4,970X,002234,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_334,26,4,970X,002236,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_335,27,4,970X,002237,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_336,28,4,970X,002238,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_337,29,4,970X,002239,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_338,30,4,970X,002240,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_501,31,4,970X,002188,I,,1,1,1,1,1,0,0,wd,M
-1,CFB_970X_S_wd,B_502,32,4,970X,002189,I,,1,1,1,1,1,0,0,wd,M
